Customer ID;Customer Name;Segment;Country;City;State;Postal Code;Region
CG-12520;Claire Gute;Individual Customer;United States;Henderson;Kentucky;42420;South
DV-13045;Darrin Van Huff;Business Customer;United States;Los Angeles;California;90036;West
SO-20335;Sean O'Donnell;Individual Customer;United States;Fort Lauderdale;Florida;33311;South
BH-11710;Brosina Hoffman;Individual Customer;United States;Los Angeles;California;90032;West
AA-10480;Andrew Allen;Individual Customer;United States;Concord;North Carolina;28027;South
IM-15070;Irene Maddox;Individual Customer;United States;Seattle;Washington;98103;West
HP-14815;Harold Pawlan;Home Office;United States;Fort Worth;Texas;76106;Central
PK-19075;Pete Kriz;Individual Customer;United States;Madison;Wisconsin;53711;Central
AG-10270;Alejandro Grove;Individual Customer;United States;West Jordan;Utah;84084;West
ZD-21925;Zuschuss Donatelli;Individual Customer;United States;San Francisco;California;94109;West
KB-16585;Ken Black;Business Customer;United States;Fremont;Nebraska;68025;Central
SF-20065;Sandra Flanagan;Individual Customer;United States;Philadelphia;Pennsylvania;19140;East
EB-13870;Emily Burns;Individual Customer;United States;Orem;Utah;84057;West
EH-13945;Eric Hoffmann;Individual Customer;United States;Los Angeles;California;90049;West
TB-21520;Tracy Blumstein;Individual Customer;United States;Philadelphia;Pennsylvania;19140;East
MA-17560;Matt Abelman;Home Office;United States;Houston;Texas;77095;Central
GH-14485;Gene Hale;Business Customer;United States;Richardson;Texas;75080;Central
SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central
LC-16930;Linda Cazamias;Business Customer;United States;Naperville;Illinois;60540;Central
RA-19885;Ruben Ausman;Business Customer;United States;Los Angeles;California;90049;West
ES-14080;Erin Smith;Business Customer;United States;Melbourne;Florida;32935;South
ON-18715;Odella Nelson;Business Customer;United States;Eagan;Minnesota;55122;Central
PO-18865;Patrick O'Donnell;Individual Customer;United States;Westland;Michigan;48185;Central
LH-16900;Lena Hernandez;Individual Customer;United States;Dover;Delaware;19901;East
DP-13000;Darren Powers;Individual Customer;United States;New Albany;Indiana;47150;Central
JM-15265;Janet Molinari;Business Customer;United States;New York City;New York;10024;East
TB-21055;Ted Butterfield;Individual Customer;United States;Troy;New York;12180;East
KM-16720;Kunst Miller;Individual Customer;United States;Los Angeles;California;90004;West
PS-18970;Paul Stevenson;Home Office;United States;Chicago;Illinois;60610;Central
BS-11590;Brendan Sweed;Business Customer;United States;Gilbert;Arizona;85234;West
KD-16270;Karen Daniels;Individual Customer;United States;Springfield;Virginia;22153;South
HM-14980;Henry MacAllister;Individual Customer;United States;New York City;New York;10009;East
TB-21520;Tracy Blumstein;Individual Customer;United States;Jackson;Michigan;49201;Central
JE-15745;Joel Eaton;Individual Customer;United States;Memphis;Tennessee;38109;South
KB-16600;Ken Brennan;Business Customer;United States;Houston;Texas;77041;Central
JE-15745;Joel Eaton;Individual Customer;United States;Houston;Texas;77070;Central
SC-20770;Stewart Carmichael;Business Customer;United States;Decatur;Alabama;35601;South
DN-13690;Duane Noonan;Individual Customer;United States;San Francisco;California;94122;West
JC-16105;Julie Creighton;Business Customer;United States;Durham;North Carolina;27707;South
CS-12400;Christopher Schild;Home Office;United States;Chicago;Illinois;60623;Central
PO-18865;Patrick O'Donnell;Individual Customer;United States;Columbia;South Carolina;29203;South
PG-18895;Paul Gonzalez;Individual Customer;United States;Rochester;Minnesota;55901;Central
GM-14455;Gary Mitchum;Home Office;United States;Houston;Texas;77095;Central
JS-15685;Jim Sink;Business Customer;United States;Los Angeles;California;90036;West
KB-16315;Karl Braun;Individual Customer;United States;Minneapolis;Minnesota;55407;Central
RB-19705;Roger Barcio;Home Office;United States;Portland;Oregon;97206;West
PN-18775;Parhena Norris;Home Office;United States;New York City;New York;10009;East
KD-16345;Katherine Ducich;Individual Customer;United States;San Francisco;California;94122;West
ER-13855;Elpida Rittenbach;Business Customer;United States;Saint Paul;Minnesota;55106;Central
RB-19465;Rick Bensley;Home Office;United States;Chicago;Illinois;60610;Central
GZ-14470;Gary Zandusky;Individual Customer;United States;Rochester;Minnesota;55901;Central
LC-16870;Lena Cacioppo;Individual Customer;United States;Aurora;Colorado;80013;West
JM-15250;Janet Martin;Individual Customer;United States;Charlotte;North Carolina;28205;South
PA-19060;Pete Armstrong;Home Office;United States;Orland Park;Illinois;60462;Central
CV-12805;Cynthia Voltz;Business Customer;United States;New York City;New York;10035;East
CL-12565;Clay Ludtke;Individual Customer;United States;Urbandale;Iowa;50322;Central
RC-19960;Ryan Crowe;Individual Customer;United States;Columbus;Ohio;43229;East
DK-13090;Dave Kipp;Individual Customer;United States;Seattle;Washington;98103;West
GG-14650;Greg Guthrie;Business Customer;United States;Bristol;Tennessee;37620;South
SC-20725;Steven Cartwright;Individual Customer;United States;Wilmington;Delaware;19805;East
AD-10180;Alan Dominguez;Home Office;United States;Houston;Texas;77041;Central
PF-19165;Philip Fox;Individual Customer;United States;Bloomington;Illinois;61701;Central
TS-21610;Troy Staebel;Individual Customer;United States;Phoenix;Arizona;85023;West
LS-16975;Lindsay Shagiari;Home Office;United States;Los Angeles;California;90004;West
DW-13585;Dorothy Wardle;Business Customer;United States;Columbus;Ohio;43229;East
LC-16885;Lena Creighton;Individual Customer;United States;Roseville;California;95661;West
JD-15895;Jonathan Doherty;Business Customer;United States;Philadelphia;Pennsylvania;19140;East
SH-19975;Sally Hughsby;Business Customer;United States;San Francisco;California;94122;West
SG-20080;Sandra Glassco;Individual Customer;United States;Independence;Missouri;64055;Central
HA-14920;Helen Andreada;Individual Customer;United States;Pasadena;California;91104;West
MG-17680;Maureen Gastineau;Home Office;United States;Newark;Ohio;43055;East
JE-16165;Justin Ellison;Business Customer;United States;Franklin;Wisconsin;53132;Central
TW-21025;Tamara Willingham;Home Office;United States;Scottsdale;Arizona;85254;West
SP-20650;Stephanie Phelps;Business Customer;United States;San Jose;California;95123;West
NK-18490;Neil Knudson;Home Office;United States;Seattle;Washington;98105;West
DB-13060;Dave Brooks;Individual Customer;United States;Seattle;Washington;98115;West
NP-18670;Nora Paige;Individual Customer;United States;Edmond;Oklahoma;73034;Central
TT-21070;Ted Trevino;Individual Customer;United States;Los Angeles;California;90045;West
EM-13960;Eric Murdock;Individual Customer;United States;Philadelphia;Pennsylvania;19134;East
RD-19900;Ruben Dartt;Individual Customer;United States;Carlsbad;New Mexico;88220;West
MJ-17740;Max Jones;Individual Customer;United States;Seattle;Washington;98115;West
BM-11140;Becky Martin;Individual Customer;United States;San Antonio;Texas;78207;Central
CS-12130;Chad Sievert;Individual Customer;United States;Los Angeles;California;90004;West
JB-15400;Jennifer Braxton;Business Customer;United States;Chicago;Illinois;60623;Central
SJ-20500;Shirley Jackson;Individual Customer;United States;Houston;Texas;77036;Central
JE-15745;Joel Eaton;Individual Customer;United States;Newark;Ohio;43055;East
JK-15640;Jim Kriz;Home Office;United States;New York City;New York;10009;East
DK-13150;David Kendrick;Business Customer;United States;Decatur;Illinois;62521;Central
RM-19675;Robert Marley;Home Office;United States;Monroe;Louisiana;71203;South
SK-19990;Sally Knutson;Individual Customer;United States;Fairfield;Connecticut;6824;East
FM-14290;Frank Merwin;Home Office;United States;Los Angeles;California;90032;West
AM-10360;Alice McCarthy;Business Customer;United States;Grand Prairie;Texas;75051;Central
MP-17470;Mark Packer;Home Office;United States;New York City;New York;10035;East
MZ-17515;Mary Zewe;Business Customer;United States;Redlands;California;92374;West
CB-12025;Cassandra Brandow;Individual Customer;United States;Hamilton;Ohio;45011;East
VM-21685;Valerie Mitchum;Home Office;United States;Westfield;New Jersey;7090;East
FH-14365;Fred Hopkins;Business Customer;United States;Philadelphia;Pennsylvania;19120;East
MB-17305;Maria Bertelson;Individual Customer;United States;Akron;Ohio;44312;East
BS-11755;Bruce Stewart;Individual Customer;United States;Denver;Colorado;80219;West
LC-17140;Logan Currie;Individual Customer;United States;Dallas;Texas;75220;Central
HK-14890;Heather Kirkland;Business Customer;United States;Franklin;Tennessee;37064;South
LE-16810;Laurel Elliston;Individual Customer;United States;Whittier;California;90604;West
JH-15985;Joseph Holt;Individual Customer;United States;Saginaw;Michigan;48601;Central
MS-17980;Michael Stewart;Business Customer;United States;Dallas;Texas;75220;Central
VW-21775;Victoria Wilson;Business Customer;United States;Medina;Ohio;44256;East
JH-15910;Jonathan Howell;Individual Customer;United States;Los Angeles;California;90032;West
JB-15925;Joni Blumstein;Individual Customer;United States;Dublin;Ohio;43017;East
DS-13180;David Smith;Business Customer;United States;Detroit;Michigan;48227;Central
VD-21670;Valerie Dominguez;Individual Customer;United States;Columbia;Tennessee;38401;South
EA-14035;Erin Ashbrook;Business Customer;United States;Charlotte;North Carolina;28205;South
CS-12400;Christopher Schild;Home Office;United States;Tampa;Florida;33614;South
DB-13120;David Bremer;Business Customer;United States;Santa Clara;California;95051;West
KL-16645;Ken Lonsdale;Individual Customer;United States;Chicago;Illinois;60610;Central
DW-13480;Dianna Wilson;Home Office;United States;Lakeville;Minnesota;55044;Central
LH-17155;Logan Haushalter;Individual Customer;United States;San Francisco;California;94109;West
KC-16540;Kelly Collister;Individual Customer;United States;San Diego;California;92037;West
DL-13315;Delfina Latchford;Individual Customer;United States;New York City;New York;10024;East
DR-12880;Dan Reichenbach;Business Customer;United States;Chicago;Illinois;60623;Central
CC-12670;Craig Carreira;Individual Customer;United States;New York City;New York;10009;East
Dl-13600;Dorris liebe;Business Customer;United States;Pasadena;Texas;77506;Central
SB-20290;Sean Braxton;Business Customer;United States;Houston;Texas;77036;Central
RC-19825;Roy Collins;Individual Customer;United States;Chicago;Illinois;60610;Central
AH-10210;Alan Hwang;Individual Customer;United States;Brentwood;California;94513;West
CB-12535;Claudia Bergmann;Business Customer;United States;Chapel Hill;North Carolina;27514;South
PG-18895;Paul Gonzalez;Individual Customer;United States;Morristown;New Jersey;7960;East
CA-12310;Christine Abelman;Business Customer;United States;Cincinnati;Ohio;45231;East
KH-16690;Kristen Hastings;Business Customer;United States;San Francisco;California;94110;West
HA-14920;Helen Andreada;Individual Customer;United States;San Francisco;California;94109;West
BB-10990;Barry Blumstein;Business Customer;United States;Inglewood;California;90301;West
AG-10495;Andrew Gjertsen;Business Customer;United States;Philadelphia;Pennsylvania;19140;East
SC-20725;Steven Cartwright;Individual Customer;United States;Houston;Texas;77070;Central
